lead_days,window_start,hours,start_level_m,observed_peak_level_m,optimised_peak_level_m,observed_freeboard_m,optimised_freeboard_m,freeboard_gained_m,spill_fraction,observed_revenue_cr,optimised_revenue_cr,revenue_delta_cr,observed_turbine_mean_cumecs,energy_neutral,policy_target_level_m,policy_start_hour,policy_max_rate_cumecs,policy_text
0,2021-10-16,289,728.81,731.5124018846008,728.7920913008893,0.917598115399187,3.6379086991106533,2.7203105837114663,0.563795726829674,86.96353977101407,98.40241727391705,11.438877502902985,123.1347534602076,False,727.9584615384615,0,828.0,"From hour 0, release up to 828 cumecs until Idukki reaches 727.96 m, then hold within +/-0.15 m."
3,2021-10-13,361,728.47,731.5680052451231,728.5062845928837,0.8619947548768323,3.9237154071162195,3.061720652239387,0.45839945174256663,95.89482491382213,122.70228898647663,26.807464072654497,112.00751731301938,False,728.4330769230769,30,828.0,"From hour 30, release up to 828 cumecs until Idukki reaches 728.43 m, then hold within +/-0.15 m."
5,2021-10-11,409,728.11,731.5824312770739,728.3019510242032,0.8475687229260984,4.128048975796787,3.2804802528706887,0.4276734100906945,103.46967200510412,138.23759618487233,34.76792417976823,107.65712408312957,False,728.4330769230769,70,828.0,"From hour 70, release up to 828 cumecs until Idukki reaches 728.43 m, then hold within +/-0.15 m."
7,2021-10-09,457,727.81,731.5890137166746,728.4908765974627,0.8409862833253783,3.939123402537234,3.098137119211856,0.382575154985376,112.29848393668681,151.12976829695032,38.83128436026352,105.14278719912474,False,728.4330769230769,157,729.4285714285714,"From hour 157, release up to 729 cumecs until Idukki reaches 728.43 m, then hold within +/-0.15 m."
10,2021-10-06,529,727.69,731.5644043988897,728.545804881681,0.8655956011102717,3.884195118318985,3.0185995172087132,0.3408867235036736,129.33498316508698,171.4509850128711,42.11600184778409,103.92047967863894,False,728.4330769230769,229,828.0,"From hour 229, release up to 828 cumecs until Idukki reaches 728.43 m, then hold within +/-0.15 m."
14,2021-10-02,625,727.55,731.5489461635309,728.4313675004341,0.8810538364690501,3.998632499565815,3.117578663096765,0.3362070184391571,148.09301245336428,186.97057933403846,38.87756688067417,101.146406,False,728.4330769230769,273,828.0,"From hour 273, release up to 828 cumecs until Idukki reaches 728.43 m, then hold within +/-0.15 m."
21,2021-09-25,793,726.73,731.6080441062935,728.2329151061942,0.8219558937064448,4.197084893805709,3.375129000099264,0.24622909167764453,158.6346649041674,237.93762646756497,79.30296156339755,89.88369955863807,False,727.9584615384615,489,630.8571428571429,"From hour 489, release up to 631 cumecs until Idukki reaches 727.96 m, then hold within +/-0.15 m."
30,2021-09-16,1009,726.45,731.6824605375236,728.514466788352,0.7475394624763112,3.915533211647926,3.1679937491716146,0.1638127638460834,173.03279140612668,270.404709768679,97.37191836255235,81.19661422200198,False,728.4330769230769,716,630.8571428571429,"From hour 716, release up to 631 cumecs until Idukki reaches 728.43 m, then hold within +/-0.15 m."
0,2021-10-16,289,728.81,731.5124018846008,728.7920913008893,0.917598115399187,3.6379086991106533,2.7203105837114663,0.6103161203288293,86.96353977101407,92.04537253548914,5.081832764475071,123.1347534602076,True,727.9584615384615,0,828.0,"From hour 0, release up to 828 cumecs until Idukki reaches 727.96 m, then hold within +/-0.15 m."
3,2021-10-13,361,728.47,731.5680052451231,728.5233383809009,0.8619947548768323,3.9066616190990544,3.044666864222222,0.5571673387052614,95.89482491382213,104.62666658614985,8.731841672327722,112.00751731301938,True,728.4330769230769,61,828.0,"From hour 61, release up to 828 cumecs until Idukki reaches 728.43 m, then hold within +/-0.15 m."
5,2021-10-11,409,728.11,731.5824312770739,728.3019510242032,0.8475687229260984,4.128048975796787,3.2804802528706887,0.5498618868427966,103.46967200510412,112.7684228109434,9.2987508058393,107.65712408312957,True,728.4330769230769,70,828.0,"From hour 70, release up to 828 cumecs until Idukki reaches 728.43 m, then hold within +/-0.15 m."
7,2021-10-09,457,727.81,731.5890137166746,728.3043741100443,0.8409862833253783,4.1256258899557,3.2846396066303214,0.5286256445694507,112.29848393668681,121.8768374190913,9.578353482404495,105.14278719912474,True,728.4330769230769,118,828.0,"From hour 118, release up to 828 cumecs until Idukki reaches 728.43 m, then hold within +/-0.15 m."
10,2021-10-06,529,727.69,731.5644043988897,728.305678850352,0.8655956011102717,4.124321149647926,3.2587255485376545,0.49354431517917424,129.33498316508698,137.27806176048742,7.943078595400428,103.92047967863894,True,728.4330769230769,183,828.0,"From hour 183, release up to 828 cumecs until Idukki reaches 728.43 m, then hold within +/-0.15 m."
14,2021-10-02,625,727.55,731.5489461635309,728.4313675004341,0.8810538364690501,3.998632499565815,3.117578663096765,0.4508052265146505,148.09301245336428,156.3104986584689,8.217486205104613,101.146406,True,728.4330769230769,273,828.0,"From hour 273, release up to 828 cumecs until Idukki reaches 728.43 m, then hold within +/-0.15 m."
21,2021-09-25,793,726.73,731.6080441062935,728.3066136109873,0.8219558937064448,4.123386389012694,3.301430495306249,0.43191735410551335,158.6346649041674,164.4564374560862,5.821772551918793,89.88369955863807,True,728.4330769230769,279,828.0,"From hour 279, release up to 828 cumecs until Idukki reaches 728.43 m, then hold within +/-0.15 m."
30,2021-09-16,1009,726.45,731.6824605375236,728.4373470077891,0.7475394624763112,3.9926529922108784,3.2451135297345672,0.3961575343837617,173.03279140612668,177.40236894633972,4.369577540213037,81.19661422200198,True,728.4330769230769,447,828.0,"From hour 447, release up to 828 cumecs until Idukki reaches 728.43 m, then hold within +/-0.15 m."
