date,mddl_m,frl_level_m,frl_stg_mcm,frl_stg_mu,reservoir,level_m,storage_mcm,storage_pct,gen_capability_gross_mu,gen_capability_station_mu,rf_mm,spill,inflow_mcm_day,cum_inflow_month_mu,prev_day_storage_pct,remarks
2021-10-01,694.944,732.43,1460,2190,IDUKKI,727.552,1192.526,82,1788.789,1753.013,0.6,,9.342,9.342,82,2386.98
2021-10-01,963.168,986.332,31.001,59.46,PAMBA,977.3,15.55,79,722.856,608.85,15,,7.132,7.132,79,
2021-10-01,908.304,981.456,446.542,856.467,KAKKI,976.259,361.33,0,0,,19,,,,,
2021-10-01,779.374,811.68,149.23,152.065,SHOLAYAR,811.042,143.571,96,146.299,95.762,11,,1.06,1.06,97,2660.9
2021-10-01,115,169,1017.8,254.45,IDAMALAYAR,162.82,839.67,82,209.918,209.918,31,,1.298,1.298,82,
2021-10-02,694.944,732.43,1460,2190,IDUKKI,727.57,1193.519,82,1790.279,1754.473,8,,11.453,20.795,82,2387.04
2021-10-02,963.168,986.332,31.001,59.46,PAMBA,977.5,15.85,79,727.94,613.132,38,,10.816,17.948,79,
2021-10-02,908.304,981.456,446.542,856.467,KAKKI,976.417,363.681,0,0,,29,,,,,
2021-10-02,779.374,811.68,149.23,152.065,SHOLAYAR,810.981,143.062,96,145.78,95.422,9,,1.186,2.246,96,2660.7
2021-10-02,115,169,1017.8,254.45,IDAMALAYAR,162.81,839.385,82,209.846,209.846,21.2,,1.391,2.689,82,
2021-10-03,694.944,732.43,1460,2190,IDUKKI,727.661,1198.484,82,1797.726,1761.771,20.2,,15.609,36.403,82,2387.34
2021-10-03,963.168,986.332,31.001,59.46,PAMBA,978.05,16.67,80,734.034,618.265,63,,11.792,29.74,79,
2021-10-03,908.304,981.456,446.542,856.467,KAKKI,976.579,366.038,0,0,,17,,,,,
2021-10-03,779.374,811.68,149.23,152.065,SHOLAYAR,810.981,143.062,96,145.78,95.422,33,,1.418,3.664,96,2660.7
2021-10-03,115,169,1017.8,254.45,IDAMALAYAR,162.88,841.38,83,210.345,210.345,45,,1.488,4.177,82,
2021-10-04,694.944,732.43,1460,2190,IDUKKI,727.655,1198.153,82,1797.23,1761.285,18.4,,13.519,49.922,82,2387.32
2021-10-04,963.168,986.332,31.001,59.46,PAMBA,978.2,16.9,80,736.57,620.4,21,,8.953,38.693,80,
2021-10-04,908.304,981.456,446.542,856.467,KAKKI,976.652,367.13,0,0,,8,,,,,
2021-10-04,779.374,811.68,149.23,152.065,SHOLAYAR,810.92,142.552,96,145.26,95.082,14,,1.239,4.903,96,2660.5
2021-10-04,115,169,1017.8,254.45,IDAMALAYAR,162.96,843.66,83,210.915,210.915,30.6,,1.781,5.957,83,
2021-10-05,694.944,732.43,1460,2190,IDUKKI,727.686,1199.808,82,1799.712,1763.718,1,,16.947,66.869,82,2387.42
2021-10-05,963.168,986.332,31.001,59.46,PAMBA,978.1,16.82,81,738.84,622.313,2,,8.682,47.375,80,
2021-10-05,908.304,981.456,446.542,856.467,KAKKI,976.737,368.394,0,0,,,,,,,
2021-10-05,779.374,811.68,149.23,152.065,SHOLAYAR,810.859,142.014,95,144.712,94.723,5,,1.442,6.345,96,2660.3
